model,mae,mse,rmse,rmse_improvement_vs_baseline_pct,direction_accuracy_pct,training_time_seconds,parameters
Naive Baseline,2.5886626461902296,14.732059295001411,3.838236482422808,0.0,,,
Direct-Price LSTM,36.34030854121565,1713.5224731954756,41.39471552258181,-978.4826758890126,42.40963855421687,7.087082750163972,
Log-Return LSTM,2.5819856333840563,14.631363334044705,3.8250965130365935,0.34234392399710367,53.975903614457835,9.163660707883537,
Log-Return GRU,2.5918556626083236,14.771360114856133,3.8433527179867495,-0.13329651748585966,52.77108433734939,30.818723917007446,9729.0
